sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
Get,21818,7,2,12,1,367,0.0,706.4728167600298,1863.5669806204062,22.161962667506213
TOTAL,21818,7,2,12,1,367,0.0,706.4728167600298,1863.5669806204062,22.161962667506213
