sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Get,26150,5,1,299,9,18.128785079332594,0.0,846.5796885622714,2233.148424348069,2701.1562141491395
TOTAL,26150,5,1,299,9,18.128785079332594,0.0,846.5796885622714,2233.148424348069,2701.1562141491395
